NAME,DESCRIPTION,FABRIC,IMAGE,SIZE,PRICE,PRODUCT_URL
U.S. Polo Assn. Men Brown Genuine Leather Two Fold Wallet,"U.S. Polo Assn. Men Brown Genuine Leather Two Fold Wallet,  U.S. Polo Assn., Wallets, Wallets, Accessories, Accessories for Men, Buy U.S. Polo Assn. Men Brown Genuine Leather Two Fold Wallet Online in India, Buy Wallets at best price",Genuine leather ,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1943420/2017/6/16/11497601313264-US-Polo-Assn-Men-Brown-Solid-Two-Fold-Wallet-6751497601313075-1.jpg",Height: 11.5 cm,809,https://www.myntra.com/wallets/us-polo-assn/us-polo-assn-men-brown-genuine-leather-two-fold-wallet/1943420/buy
Baggit Men Black Solid Two Fold Wallet,"Baggit Men Black Solid Two Fold Wallet,  Baggit, Wallets, Wallets, Accessories, Accessories for Men, Buy Baggit Men Black Solid Two Fold Wallet Online in India, Buy Wallets at best price",PU ,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/4608404/2018/4/23/11524469348714-Baggit-Men-Wallets-1811524469348556-1.jpg",Height:,720,https://www.myntra.com/wallets/baggit/baggit-men-black-solid-two-fold-wallet/4608404/buy
HRX by Hrithik Roshan Men Grey Solid Baseball Cap,"HRX By Hrithik Roshan Men Grey Solid Baseball Cap,  HRX By Hrithik Roshan, Caps, Headwear, Accessories, Accessories for Men, Buy HRX By Hrithik Roshan Men Grey Solid Baseball Cap Online in India, Buy Caps at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2178513/2018/2/2/11517574696233-HRX-by-Hrithik-Roshan-Men-Grey-Solid-Baseball-Cap-7051517574696177-1.jpg",,279,https://www.myntra.com/caps/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-grey-solid-baseball-cap/2178513/buy
Puma Unisex Grey Style Military Solid Baseball Cap,"Puma Unisex Grey Style Military Solid Baseball Cap,  Puma, Caps, Headwear, Accessories, Accessories for Unisex, Buy Puma Unisex Grey Style Military Solid Baseball Cap Online in India, Buy Caps at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6699035/2018/6/11/a370ba68-a879-4fac-9bc1-21dd3b42e2121528708327523-na-9861528708327345-1.jpg",,499,https://www.myntra.com/caps/puma/puma-unisex-grey-style-military-solid-baseball-cap/6699035/buy
FabSeasons Beige Solid Scarf,"FabSeasons Beige Solid Scarf, FabSeasons, Scarves, Scarves, Accessories, Accessories for Unisex, Buy FabSeasons Beige Solid Scarf Online in India, Buy Scarves at best price",Acrylic ,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2439658/2018/1/31/11517381404259-NA-531517381404122-1.jpg",Length:0.9 m,449,https://www.myntra.com/scarves/fabseasons/fabseasons-beige-solid-scarf/2439658/buy
Ed Hardy Men Black Embellished Belt,"Ed Hardy Men Black Embellished Belt,  Ed Hardy, Belts, Belts, Accessories, Accessories for Men, Buy Ed Hardy Men Black Embellished Belt Online in India, Buy Belts at best price",Leather ,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2238752/2017/12/5/11512452112767-Ed-Hardy-Men-Belts-7491512452112747-1.jpg",Width: 3.7 cm,1199,https://www.myntra.com/belts/ed-hardy/ed-hardy-men-black-embellished-belt/2238752/buy
Roadster Men Tan Brown Leather Belt,"Roadster Men Tan Brown Leather Belt, Roadster, Belts, Belts, Accessories, Accessories for Men, Buy Roadster Men Tan Brown Leather Belt Online in India, Buy Belts at best price",Leather,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2975974/2018/7/25/39e5f09a-5106-4ce2-94f9-ddad9d6050ab1532515725698-Roadster-Men-Belts-6791532515725619-1.jpg",Width: 4 cm,419,https://www.myntra.com/belts/roadster/roadster-men-tan-brown-leather-belt/2975974/buy
Peora Silver-Toned Rhodium-Plated Stone-Studded Couple Ring Set,"Peora Silver Toned Rhodium Plated Stone Studded Couple Ring Set,  Peora, Ring, Jewellery, Accessories, Accessories for Unisex, Buy Peora Silver Toned Rhodium Plated Stone Studded Couple Ring Set Online in India, Buy Ring at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/3006095/2018/4/5/11522923699621-Peora-Silver-Toned-Rhodium-Plated-Stone-Studded-Couple-Ring-Set-9841522923699567-1.jpg",,551,https://www.myntra.com/ring/peora/peora-silver-toned-rhodium-plated-stone-studded-couple-ring-set/3006095/buy
Royal Enfield Unisex White Urban Trooper Helmet RRGHEH000063,"Royal Enfield Unisex White Urban Trooper Helmet RRGHEH000063,  Royal Enfield, Helmets, Accessories, Accessories, Accessories for Unisex, Buy Royal Enfield Unisex White Urban Trooper Helmet RRGHEH000063 Online in India, Buy Helmets at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2242802/2018/4/3/11522760174729-Royal-Enfield-Unisex-Helmets-6101522760174636-1.jpg",,3500,https://www.myntra.com/helmets/royal-enfield/royal-enfield-unisex-white-urban-trooper-helmet-rrgheh000063/2242802/buy
BuckleUp Men Black Leather Belt,"BuckleUp Men Black Leather Belt, BuckleUp, Belts, Belts, Accessories, Accessories for Men, Buy BuckleUp Men Black Leather Belt Online in India, Buy Belts at best price",Leather,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1734718/2017/1/23/11485161135326-BuckleUp-Men-Black-Leather-Belt-3971485161135227-1.jpg",Width: 3.5 cm,517,https://www.myntra.com/belts/buckleup/buckleup-men-black-leather-belt/1734718/buy
